Brand,Price in USD,Rating out of 5
Vans® Asher,43.583333333333336,4.5
Vans® Ward,43.583333333333336,4.6
Nike Air,75,4.5
Journee Collection,79,4.0
ASICS GEL-Contend,64,4.5
Journee Collection,79,4.0
ASICS GEL-Excite,74,4.5
Sonoma Goods,49,4.7
adidas Cloudfoam,64,4.4
Skechers® Relaxed,43.583333333333336,4.6
Journee Collection,79,4.0
Nike Revolution,65,4.4
Women's Converse,43.583333333333336,4.5
ASICS GEL-Venture,69,4.3
Nike Flex,65,4.3
Journee Collection,79,4.0
Nike Revolution,65,4.4
Journee Collection,79,4.0
adidas Cloudfoam,64,4.4
Nike Downshifter,60,4.2
Vans® Doheny,43.583333333333336,4.4
New Balance®,64,3.9
Keds Jump,43.583333333333336,4.3
Nike Air,75,4.5
New Balance®,64,3.9
ASICS GEL-Venture,69,4.3
Women's Converse,43.583333333333336,4.5
Keds Double,43.583333333333336,4.3
Nike Flex,65,4.3
Keds Champion,43.583333333333336,4.0
Nike AD,65,4.8
Vans® Ward,43.583333333333336,4.6
Skechers® Afterburn,70,4.6
Ryka Devotion,43.583333333333336,4.3
Keds Double,43.583333333333336,4.3
New Balance®,64,3.9
Nike Star,50,4.7
New Balance®,64,3.9
Under Armour,70,4.6
Keds Double,43.583333333333336,4.3
Nike Downshifter,60,4.2
Keds Jump,43.583333333333336,4.3
Sonoma Goods,49,4.7
Under Armour,70,4.6
Skechers® GOrun,43.583333333333336,4.6
Vans® Atwood,43.583333333333336,4.6
Keds Double,43.583333333333336,4.3
New Balance®,64,3.9
Skechers® Delson,80,4.7
FILA™ Windshift,49,4.5
New Balance®,64,3.9
Skechers® Seager,43.583333333333336,4.3
FILA™ Windshift,49,4.5
Croft &,59,4.6
Nike Air,75,4.5
Vans® Doheny,43.583333333333336,4.4
Nunn Bush®,85,4.6
Skechers® GOwalk,43.583333333333336,4.7
Nike Legend,60,4.1
Nike Winflo,90,4.2
